Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1418,4.0,0.9301,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",di vaksin covid tapi masih berpotensi terkena covid dan harus mematuhi m lantas apa bedanya dengan tidak di vaksin bu mohon penjelasannya
1419,4.0,0.7749,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",hihi dalam vaksin ada virus covid memang lah ada hihihi sebab dia vaksin covid habis kalau positive covid dapat virus lain ke hidhidhsjfhsdis dahla sebelum disumpah menjadi selipar jamban berlumut diam lah tolong
1420,5.0,0.5101,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",so far tidak ada efek sih vaksin astrazeneca
1421,4.0,0.7213,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",itulah perlunya mengcounter setiap narasi dan propaganda vaksin covid aebagai syarat agar anak untuk kembali bersekolah normal
1422,10.0,0.5974,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",terima vaksin astrazeneca makan siang seperti biasa tidur now badan seger tidak ada keluhan nafsu makan biasa saja so kalau ada kesemparan vaksin sementara kondisi badan sdg fit dan tidak ada penyakit bawaan gas saja lur jadwal vaksin ke bulan lagi
1423,4.0,0.4652,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dialog vaksin covid sikap tunggu dan lihat sampai bila
1424,7.0,0.9494,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",tidak perlu sungkan menyebut mereka yang teriak teriak mempersoalkan vaksin covid ternyata duluan vaksin sebagai bajingan tidak perlu disebut siapa di medsos bertebaran yang demikian itu merekalah sejatinya bajingan perusak negeri ini
1425,4.0,0.8701,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",semoga vaksin covid untuk warga surabaya bisa merata dan semuanya
1426,4.0,0.432,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",buat space bahas vaksin corona lah kakak
1427,4.0,0.818,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ultah hari ini hadiahku vaksin covid
1428,7.0,0.6139,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",selesai vaksin sinovac tahap kedua bismillah ikhtiar allahumma sehat seger waras
1429,4.0,0.5037,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",di qbig katanya day vaksin sinovac gratis cari informasi sana
1430,8.0,0.8721,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",berdasarkan hasil pengujian dapat disimpulkan bahwa tidak ada keterkaitan antara mutu vaksin covid astrazeneca nomor bets ctmav dengan kipi yang dilaporkan untuk itu vaksin covid astrazeneca nomor bets ctmav dapat digunakan kembali
1431,4.0,0.9241,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",isu vaksin covid di kantor w ini dari jaman w boleh vaksin sampai w gabole vaksin masih belum kelihatan hilal realisasinya sampai sekarang
1432,4.0,0.818,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin covid menyerap sempurna
1433,4.0,0.6969,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ada yang sudah vaksin covid
1434,4.0,0.5118,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",company aku sudah start open untuk vaksin sinovac ini haa aku punya vaksin astrazeneca s ini tidak keluar status lagi padahal semalam sudah berjaya buat appointment aduhaiii feninngggggg ler
1435,10.0,0.5084,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",berdosa sangat ke kalau dapat vaksin sinovac
1436,10.0,0.4874,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",moots ada yang sudah pernah vaksin astrazeneca sumpah saya takut tertawa astagaa
1437,4.0,0.5787,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin hepatitis b yakin lebih kemeng daripada pas di vaksin covid ataupun hep a lieeer
1438,8.0,0.5601,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",seperti prof yang nyalahin akademisi karena gurita korupsi maka nanti pak md juga harus salahkan rakyat jika terpapar g yang sebabkan meningkatnya covid karena handphone amp tempelan koin di pasien vaksin covid
1439,10.0,0.6324,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",pemasoknya orang sinovac batalkan semua vaksin sinovac minta pertanggung jawaban sinovac berbulan di ingatkan masih saja ndablek yakin sinovac keluargamu aman
1440,4.0,0.8987,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",lebih petugas kpps meninggal saja tidak peduli apalagi meninggal setelah di vaksin covid
1441,4.0,0.5207,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",pemerintah juga memastikan keamanan mutu khasiat sehingga tidak perlu ada keraguan masyarakat dalam menerima vaksin
1442,6.0,0.6044,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",per mei indonesia sudah menerima dosis vaksin covid yakni sebesar vaksin bulk sinovac yang akan diolah bio farma menjadi sekitar juta dosis vaksin jadi serta dosis vaksin jadi dari sinovac astrazeneca dan sinopharm
1443,10.0,0.6405,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",vaksin sinovac tidak ada dalam list macamana ini
1444,10.0,0.899,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",dok maaf mau bertanya kalau vaksin covid itu aman tidak yah buat ibu menyusui
1445,4.0,0.886,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",selain israel dan website vaksin covid beliau juga gagal matematik
1446,4.0,0.7126,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",lha masalah ini saya bahkan justru bingung kalopun meninggal karena vaksin covid kan bukan berarti ybs meninggal karena covid kecuali sebetulnya kena covid berhari sebelum divaksin
1447,10.0,0.8985,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",setelah vaksin sinovac kedua yang w rasain akuuu ngantukkkkkkkk pwol pen hibernasiiiiii
1448,10.0,0.7874,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",jadi kata dokter sepanjang tahun kapanpun diperiksa kuman tipesku akan tinggi terus sekalipun tidak ada gejala sama sekali dan belum ada riset apakah vaksin covid bisa berdamai dng antibodi bawaan
1449,9.0,0.4313,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",setauku bisa kakak pas aku vaksin hpv sama dokternya diganti jarum bayi padahal tidak minta juga sih tapi kalau vaksin covid aku gatau bisa ganti apa tidak
1450,8.0,0.7112,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",yang status wa nya sertifikat vaksin covid tolong menyingkir dulu
1451,10.0,0.9173,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",bapakku iya wes nder aman ae kok gelombang yang pakai vaksin sinovac
1452,5.0,0.7549,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",kalau bulan kemarin kan disuntik vaksinnya siang nah malamnya lemas seperti mau sakit begitu tidak mood sedang apa tapi dibiarin tidur sudah membaik sih dulu saya yang vaksin astrazeneca
1453,4.0,0.4708,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",headline berita seorang wanita ditemukan glowing setelah lakukan vaksin covid
1454,5.0,0.9089,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",alhamdulillah ibu dapat first appoimnt fr vaksin padahal semalam tidak lepas ye
1455,4.0,0.4836,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",pagi teman mohon informasi di jakarta yang masih tersedia vaksin sinovac di rs mana iya karena anaku cari di beberapa rs sinovac habis yang tersedia astrazeneca terima kasih sebelumnya
1456,4.0,0.9091,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",rakyat yang beragama islam disuntik dengan vaksin sinovac bolehkah mereka mengerjakan ibadah umrah ataupun haji
1457,10.0,0.4969,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",pakai vaksin sinovac apa yang baru tank
1458,4.0,0.8826,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dengan menjaga stamina dan daya tahan tubuh dapat membantu meningkatkan respons tubuh terhadap vaksin corona fituno mengundang pembicara ahli yang akan membahas strategi dan membongkar rahasia untuk meningkatkan kekebalan tubuh setelah vaksinasi covid
1459,4.0,0.697,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",hai kamu apakah sudah mendapatkan vaksin covid
1460,10.0,0.4922,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",h jam vaksin astrazeneca sakit sekali tolongg
1461,4.0,0.8701,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",untuk mengajak mereka mengambil vaksin covid terima kasih
1462,4.0,0.7677,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",jadi kemarin beli menu mcd yang collab sama boiben yang itu setelah berjuang di website vaksin covid berjuang lagi di website mcd karena high traffic setelah drama karena order tidak muncul di list dan sudah bayar salah sistem lagi datang deh makanannya rasanya yagitudeh
1463,10.0,0.697,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",saya dulu di vaksin sinovac
1464,4.0,0.7455,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",banyak beredar video di wag dibekas suntikan vaksin covid dapat menempelkan koin rp logam seperti ada magnetnya bagi teman teman yang sudah divaksin apakah video itu benar
1465,4.0,0.6351,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",morning gaes sori beneran bertanya aku amp istri lagi cari vaksin covid apakah ada channel di mana kami bisa daftar dan antri tempo hari ada channel industri kreatif tapi terlewat skg sudah tutup karena saat itu aku lagi tunggu dari channel lain jika ada informasi thank you sekali
1466,1.0,0.7884,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",secara efficacy sinovac kayaknya baik sekali untuk asians iya another masalah sinovac belum masuk dalam list who approved vaccine apa masalah kolateral berikutnya pengguna vaksin sinovac mungkin belum dapat traveling
1467,10.0,0.4653,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",uhuuww iya aku juga sama jenis vaksin sinovac iyaa semoga kakak zhong juga sehat terima kasih banyaakk sudah jawab
1468,9.0,0.6419,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",vaksin sinovac kakak waaah aku baru tahu ternyata vaksin punya banyak jenis kalau vaksin kedua biasanya beda jenis apa sama kakak
1469,9.0,0.4622,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",disini aturannya pun sama vaksin covid tidak boleh diperjualbelikan tapiiii terlalu banyak oknum dan pembiaran pdhal sudah terangan mereka jualnya tidak pula ditertibkan
1470,3.0,0.3596,"emg, alam, cek, normal, telah, tensi, booster, kmren, us, iyaa",kan sudah jelasin gamblang masalahnya apa kalau bisa bantu iya bantu kalau tidak bisa iya diem saja cukup daripada darah tinggi kan nanti tidak bisa vaksin covid hayolo bertambah sakit mental juga kalau mara melulu
1471,2.0,0.5539,"temu, bayi, kontra, vaksin, desa, covid, halal, cacar, beli, adil",yang ilegal itu kan sebenernya vaksinnya sama saja sama yang legal bedanya yang legal gratis yang ilegal bayar ke oknum oma opa crazyrich citraland ae vaksin covid gratis kok
1472,4.0,0.4581,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",terus tujuan vaksin covid apa dong
1473,5.0,0.6996,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",sama sekali ini baru kmren siang vaksin astrazeneca dari smlem jam smpe sekarang badan masih demam pusing mual dan pegal
1474,4.0,0.9464,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",umar ini rektor cina sudah tidak ada covid bahkan cina kirim bantuan vaksin covid buat suntuk tubuh mu benar cuma yang ada dipikiran mu yang kamu pikirin
1475,6.0,0.8327,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",datang menangkan ovo gopay senilai rb untuk pemenang jawab dan follow arusbaik id pertanyaan salah satu vaksin yang digunakan vaksinasi gotong royong bersama dengan vaksin sinopharm buruan jawab dan tag teman kamu iya
1476,10.0,0.5082,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",suami saya juga sudah di vaksin astrazeneca alhamdulillah baik saja kami juga selalu menerapkan prokes ketat bahkan sampai sekarang sudah setahun lebih belum berani berlibur tetap di rumah terus semoga sehat selalu iya pak
1477,8.0,0.4099,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",wkwkwk tapi masih ada yang percaya vaksin covid itu di suntik chip nano ke tubuh
1478,8.0,0.4736,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",badan pom putuskan vaksin astrazeneca ctmav penuhi syarat mutu untuk program vaksinasi
1479,9.0,0.3588,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",iya kalau kondisinya begini terus daripada suntik vaksin corona lebih baik member suntik serumnya capt amerika lah biar pada strong semua
1480,9.0,0.5006,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",saking tidak kuat sama nyeri kepala plus pusing juga panas dingin dan mual efek samping vaksin astrazeneca sampai dibawa ke igd ternyata imun rendah saat vaksin jadi nyeri nya luarbiasa
1481,6.0,0.4387,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",masih menanti benefit dari kepemilikan sertifikat vaksin covid
1482,9.0,0.8957,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",kader di rumah tidak gamblang infokan efek samping vaksin astrazeneca baru mengerti setelah vaksin ternyata imun tidak kuat dn masuk igd ternyat efek samping nya buat badan ambayar
1483,8.0,0.6749,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",alhamdulillah baik saja minggu ke setelah vaksin astrazeneca yang sempat ditarik itu update bppom vaksin ini dinyatakan aman legaaa banget sempat cemas juga simak pembahasan di berita alhamdulillah aman memang keras reaksi tubuh pasca vaksin ini berlangsung hari
1484,7.0,0.4455,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",sekitar beberapa bulan lalu diberitakan beberapa negara eropa diantaranya seperti italia vaksin astrazeneca menyebabkan blood clot program vaksin astrazeneca di malay menyebabkan blood clot atau wabah covid meningkat total lockdown di malay akibat blood clot atau pandemik covid
1485,4.0,0.4452,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",katanya yang habis vaksin covid badannya ada magnet maaf saudara laki-laki but i m pussy magnet before it was cool
1486,8.0,0.4911,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",indonesia adalah pasar vaksin covid
1487,5.0,0.4308,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",habis vaksin astrazeneca demam sakit kepala parah sakit di lambung susah nerima makanan sesak nafas hari efek min sekarang masih suka pusing keras min si astrazeneca perut jangan kosong pas vaksin and yang pny asma juga konsultasi dokter dulu dh
1488,4.0,0.8251,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dalam keadaan sekarang ini adakah vaksin covid masih hak individu aku rasa vaksin yang ini specifically untuk covid patut diwajibkan sudah keadaan semakin meruncing no time untuk hak individu lebih penting untuk mencapai hak masyarakat
1489,6.0,0.4006,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",tapi kesadaran masing juga sih kayake iya ini ngomong-ngomong vaksin covid apa vaksin capeng iya aku gagal paham
1490,8.0,0.5681,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",vaksin covid tu cma vitamin c dlam dosis besar
1491,10.0,0.7184,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",vaksin covid tidak apa-apa yuk semoga cepat reda istirahat iya moots
1492,8.0,0.9301,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",kadang binggung juga ini vaksin corona gunanya buat apa si keluarga dapat vaksin semua kukira sudah tenang bahkan sekarang positif corona semua
1493,9.0,0.6169,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",habis vaksin covid boleh donor darah tidak iya
1494,8.0,0.3821,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",bagaimana iya caranya ngajak orang tua buat vaksin covid sudah kebanyakan terpapar isu bohong whatsapp group ini aku rasa orang tua aku tidak ada uang yang mau divaksin padahal sebelumnya mereka juga terinfeksi covid februari lalu bagaimana bujuknya kalau tidak inget emak sendiri sudah ingin aku gas saja perasaan
1495,10.0,0.6675,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",obrolan di meja makan sama mama tetangga ibu usia sekitar than jatuh dari kasur dibawa ke rsu eh dinyatakan kena covid orang sekitaran rumah banyak yang mengundurkan diri karena takut vaksin mungkin gegara kabar dampak vaksin astrazeneca itu stay safe
1496,8.0,0.7915,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",hasil lot release yang telah dilakukan sebelum vaksin diedarkan pengujian vaksin covid astrazeneca bets ctmav memiliki toksisitas abnormal dan sterilitas vaksin covid astrazeneca bets ctmav memenuhi syarat mutu dan aman digunakan
1497,4.0,0.9567,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",saya bukan warga dki tapi warga indonesia kalau saya dan anak anak tidak ikut vaksin covid tidak apa apa kan iya mohon maaf saya buka penerima bantuan covid juga bukan penerima subsidi lain nya
1498,10.0,0.8182,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",banyak yang takut vaksin covid sini jatah buat aku saja
1499,4.0,0.4869,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",aku kok rada tidak percaya apa yang dikatakan pemerintah tentang reaksi magnet setelah vaksin covid dan data ribu pns fiktif seakan semua bagiannya kompak menutupi
1500,9.0,0.6593,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",suntik vaksin covid makanya biar dapat kekuatan super
1501,8.0,0.9173,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",vaksin covid dari astrazeneca adalah salah satu vaksin yang paling banyak digunakan di dunia sehingga sudah pasti memenuhi syarat mutu dan aman digunakan
1502,8.0,0.5239,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",pada mei badan pom sampaikan hasilnya bahwa vaksin covid produksi astrazeneca batch ctmav telah penuhi syarat mutu sehingga aman digunakan dalam program vaksinasi nasional covid
1503,4.0,0.5779,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",mau tanya min untuk persyaratan perjalanan surat bebas covid dari rapid antigen apa bisa diganti dengan sertifikat sudah vaksin sinovac
1504,10.0,0.5685,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",nungguin jadwal vaksin setelah minta direschedule eh pas sudah dapat jadwalnya malahan dapatnya jenis vaksin astrazeneca ngomong-ngomong vaksin ini lagi ramai kan efek sampingnya buat maju mundur buat ikutan vaksin
1505,10.0,0.8485,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",vaksin astrazeneca aman kok tidak perlu ragu
1506,4.0,0.5903,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",saya terdaftar sbgai sasaran penerima vaksin covid tahap satu ini aman tidak sih
1507,9.0,0.4855,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",after efek vaksin astrazeneca buat saya seperti mau meninggal kepala saya benerbener pusing banget dari kemarin badan panas mual gila malas banget aih sampai begini
1508,10.0,0.5793,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",semua vaksin covid yang tidak pakai killed virus itu eksperimental semua sinovac yang pakai killed virus juga eksperimental karena masih tahap uji klinis
1509,8.0,0.409,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",min kalau sudah melakukan vaksin covid apakah ttp harus test rapid dan lain-lain untuk persyaratan naik kakak
1510,8.0,0.6178,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",yessss bakal dapat vaksin sinovac tolak rm dari gaji for both doses uyayyyyyyy
1511,4.0,0.5849,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin sinopharm bahan aktif virus inaktif bahan inaktif sama dengan vaksin sinovac jadi seperti vaksin sinovac vaksin sinopharm juga tidak bisa membuat seseorang jadi magnet dan tidak ada bahan yang ferromagnetik
1512,4.0,0.9621,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin astrazeneca bahan aktif adenovirus yang disisipi oleh dna spike protein sars cov bahan inaktif a l histidine b l histidine hydrochloride monohydrate a b asam amino pendukung efektivitas vaksin cont di
1513,4.0,0.8939,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",padahal ingin vaksin covid tapi pagi ini ditolak sama rsud depok dan rs ui ktnya yang belum dibuka untuk umum jadi mesti vaksin ke mana ini apa tidak perlu saja mau vaksin kok iya repot
1514,2.0,0.4456,"temu, bayi, kontra, vaksin, desa, covid, halal, cacar, beli, adil",secara garis besar bahan bahan penyusun vaksin sinovac tidak ada yang bersifat magnet dan ferromagnetik dapat ditarik magnet secara kuat alumunium itu sifatnya paramagnetik kalau tidak ada medan magnet yang sangat kuat tidak akan ketarik
1515,4.0,0.9393,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",apa bedanya amalan penawar covid dan vaksin covid kalau amalan pakai bahasa indo sehingga tidak perlu dikaitakan dengan agama apa dilarang
1516,6.0,0.8485,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",namun bisa memastikan vaksin covid benar benar terdistribusi kepada masyarakat yang membutuhkan
1517,10.0,0.6938,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",suami saya mggu lalu di vaksin astrazeneca alhamdulillah baik saja dan semoga selalu baik saja
1518,6.0,0.4867,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",bagi yang pernah terkonfirmasi covid bisa donor kembali minggu setelah dinyatakan sembuh bebas gejala bagi yang habis vaksin covid bisa donor kembali minggu pasca vaksin yang kedua
1519,10.0,0.899,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",alhamdulillah vaksin covid sudah lengkap semoga semua tetap sehat dan tidak ada sakit semacam c ini
1520,4.0,0.6233,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ingin vaksin covid tapi gatau dimana hm
1521,8.0,0.8354,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",the isu bohong vaksin covid terdapat bluetooth di dalamnya sehingga bisa mencuri data pribadi bagi orang yang disuntik
1522,7.0,0.4276,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",p vaksin covid pfizer sebabkan bell s palau orang tua tidak apa-apa oif t
1523,5.0,0.4062,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",bah kalau vaksin sinovac pas vaksin keduanya biar tidak kerasa sakit pas disuntik divaksin di lengan yang berbeda dari vaksin yang pertama bah
1524,6.0,0.8485,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",indonesia kedatangan lagi vaksin covid tahap ke
1525,10.0,0.6004,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",kalau ada slot untuk vaksin punyanya dr terawan vaksin nusantara mau sudah ikut mau pakai vaksin sinovac atau astrazeneca yah sama gambling yah namanya juga ikhtiar tidak mungkin juga dr terawan ngasal intinya cintailah produk produk indonesia
1526,6.0,0.5198,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",vaksin gotong royong sinopharm dibuat di cina indonesia sudah menerima juta dosis vaksin sinopharm berasal dari sinopharm cina national pharmatical donasi dari pemerintah uni emirat arab dan dari pabrikan cina
1527,8.0,0.5475,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",dengan adanya fenomena bekas suntikan vaksin covid bermagnet sudah seharusnya pemerintah indonesia mengambil langkah menghentikan vaksinasi covid kepada warga negara indo dan seterusnya melakukan penyelidikan terhdp fenomena tersebut
1528,10.0,0.5785,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",halo teman teman adakah yang punya penyakit comorbid khususnya terkait paru paru asthma dan lain-lain dan sudah mendapatkan vaksin covid kalau ada boleh tolong sharing yuk mau mengumpulkan informasi untuk menuju vaksin ini
1529,10.0,0.5517,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",sebelum vaksin astrazeneca mbaku benar benar siapin stamina booster vitamin susu makan jadi setelah vaksin biasa saja kaya vaksin sinovac
1530,10.0,0.3073,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",ini beneran tidak sih kalau penerima vaksin sinovac tidak boleh masuk arab kalau beneran sejauh ini pemerintah sudah ambil langkah apa iya apakah yang sudah sinovac boleh ambil astrazeneca atau apakah ada diplomasi biar yang sinovac bisa masuk
1531,4.0,0.6946,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",abi gamau ceramah karena katanya harus divaksin dan masih takut sama berita vaksin yang simpang siur sbnarnya vaksin covid aman tidak sih
1532,5.0,0.6333,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",suami saya kemarin kata nya vaksin astrazeneca hari full pada nya sakit semua berasa remuk pegal kata nya
1533,10.0,0.6168,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",vaksin ini memakai virus yang dilemahkan sama dengan sinovac mbak kalau saya dapat vaksin sinovac tdkanda gejala apa di vaksin dan mungkin saya terlalu bebal untuk merasakan efek nya
1534,8.0,0.4539,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",ternyata pelaporan kipi vaksin covid di indonesia memerlukan nama ayah ibu pasien kelihatannya sesuai format kipi anak kaidah pelaporan efek samping sesuai form meso bahkan tidak terdata
1535,10.0,0.8701,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",alhamdulillah iya bunda kebagian vaksin covid juga tapi yang kedua masih bulan lagi
1536,4.0,0.4483,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ini ada juga yang goreng isu akibat vaksin corona
1537,10.0,0.4648,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",gaes ada yang sama seperti aku tidak sih ingin ikut vaksin covid itu bukan apa tidak takut kaya yang lain cuma takut sama diri sendiri karena punya banyak alergi obat dulu waktu diopname saja harus ganti resep x karena alergi jujur tapi ingin ikut vaksin covid
